"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)N=C1N","1"
"L-Cysteine","L-Cysteine","HMDB0000574","5862","C00097","C([C@@H](C(=O)O)N)S","1"
"D-Cysteine","D-Cysteine","HMDB0003417","92851","C00793","C([C@H](C(=O)O)N)S","1"
"N-Acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"3,4-Dihydroxybenzylamine","3,4-Dihydroxybenzylamine","HMDB0012153","91623",NA,"C1=CC(=C(C=C1CN)O)O","1"
"3-Hexenedioic acid","3-Hexenedioic acid","HMDB0000393","5351896",NA,"C(/C=C/CC(=O)O)C(=O)O","1"
"3-Methylglutaconic acid","3-Methylglutaconic acid","HMDB0000522","1551553",NA,"C/C(=C\C(=O)O)/CC(=O)O","1"
"(E)-2-Methylglutaconic acid","(E)-2-Methylglutaconic acid","HMDB0002266","6368126",NA,"C/C(=C\CC(=O)O)/C(=O)O","1"
"trans-2-Hexenedioic acid","trans-2-Hexenedioic acid","HMDB0013311","10877230",NA,"C(CC(=O)O)/C=C/C(=O)O","1"
"D-Xylose","D-Xylose","HMDB0000098","135191","C00181","C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O","1"
"D-Ribose","D-Ribose","HMDB0000283","5779","C00121","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O","1"
"2-Deoxyribonic acid","2-Deoxyribonic acid","HMDB0000366","11528367",NA,"C([C@@H]([C@@H](CO)O)O)C(=O)O","1"
"D-Ribulose","D-Ribulose","HMDB0000621","151261","C00309","C([C@H]([C@H](C(=O)CO)O)O)O","1"
"L-Arabinose","L-Arabinose","HMDB0000646","439195","C02479","C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O","1"
"L-Threo-2-pentulose","L-Threo-2-pentulose","HMDB0000751","22253","C00312","C([C@@H]([C@H](C(=O)CO)O)O)O","1"
"D-Xylulose","D-Xylulose","HMDB0001644","5289590","C00310","C([C@H]([C@@H](C(=O)CO)O)O)O","1"
"L-Ribulose","L-Ribulose","HMDB0003371","439204","C00508","C1[C@H]([C@@H](C(O1)(CO)O)O)O","1"
"Beta-D-ribopyranose","Beta-D-ribopyranose","HMDB0012194","441481","C08353","C1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O","1"
"Arabinofuranose","Arabinofuranose","HMDB0012325","440921","C06115","C([C@H]1[C@@H]([C@H](C(O1)O)O)O)O","1"
"Acetaminophen","Acetaminophen","HMDB0001859","1983","C06804","CC(=O)NC1=CC=C(C=C1)O","1"
"2-Phenylglycine","2-Phenylglycine","HMDB0002210","99291",NA,"C1=CC=C(C=C1)C(C(=O)O)N","1"
"Dopamine quinone","Dopamine quinone","HMDB0012219","162602","C17755","C1=CC(=O)C(=O)C=C1CCN","1"
"Leukoaminochrome","Leukoaminochrome","HMDB0012992","147311","C17756","C1CNC2=CC(=C(C=C21)O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"Gentisic acid","Gentisic acid","HMDB0000152","3469","C00628","C1=CC(=C(C=C1O)C(=O)O)O","1"
"2-Pyrocatechuic acid","2-Pyrocatechuic acid","HMDB0000397","19","C00196","C1=CC(=C(C(=C1)O)O)C(=O)O","1"
"Protocatechuic acid","Protocatechuic acid","HMDB0001856","72","C00230","C1=CC(=C(C=C1C(=O)O)O)O","1"
"3,5-Dihydroxyphenylbenzoic acid","NA","NA","NA","NA","NA","0"
"Allantoin","Allantoin","HMDB0000462","204","C01551","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"Arabinonic acid","Arabinonic acid","HMDB0000539","122045","C00878","C([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Ribonic acid","Ribonic acid","HMDB0000867","5460677","C01685","C([C@H]([C@H]([C@H](C(=O)O)O)O)O)O","1"
"Hydantoin-5-propionic acid","Hydantoin-5-propionic acid","HMDB0001212","782","C05565","C(CC(=O)O)C1C(=O)NC(=O)N1","1"
"4-Pyridoxic acid","4-Pyridoxic acid","HMDB0000017","6723","C00847","CC1=NC=C(C(=C1O)C(=O)O)CO","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","C02727","CC(=O)NCCCC[C@@H](C(=O)O)N","1"
"N-Alpha-acetyllysine","N-Alpha-acetyllysine","HMDB0000446","192590","C12989","CC(=O)NC(CCCCN)C(=O)O","1"
"Glycyl-L-leucine","Leucyl-Glycine","HMDB0028929","97364",NA,"CC(C)CC(N)C(=O)NCC(O)=O","1"
"Oxalosuccinic acid","Oxalosuccinic acid","HMDB0003974","972","C05379","C(C(C(=O)C(=O)O)C(=O)O)C(=O)O","1"
"Diaminopimelic acid","Diaminopimelic acid","HMDB0001370","99290","C00666","C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N","1"
"Glucosamine","Glucosamine","HMDB0001514","439213","C00329","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","1"
"Fructosamine","Fructosamine","HMDB0002030","20484",NA,"C1[C@H]([C@H]([C@@H]([C@](O1)(CN)O)O)O)O","1"
"Cysteine-S-sulfate","Cysteine-S-sulfate","HMDB0000731","115015","C05824","C([C@@H](C(=O)O)N)SS(=O)(=O)O","1"
"Lipoamide","Lipoamide","HMDB0000962","863","C00248","C1CSSC1CCCCC(=O)N","1"
"Indolelactic acid","Indolelactic acid","HMDB0000671","92904","C02043","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O","1"
"5-Methoxyindoleacetate","5-Methoxyindoleacetate","HMDB0004096","18986","C05660","COC1=CC2=C(C=C1)NC=C2CC(=O)O","1"
"Cinnamoylglycine","Cinnamoylglycine","HMDB0011621","709625",NA,"C1=CC=C(C=C1)/C=C/C(=O)NCC(=O)O","1"
"Galactaric acid","Galactaric acid","HMDB0000639","3037582","C00879","[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O","1"
"Glucaric acid","Glucaric acid","HMDB0000663","33037","C00818","[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O","1"
"Phosphocreatine","Phosphocreatine","HMDB0001511","587","C02305","CN(CC(=O)O)C(=NP(=O)(O)O)N","1"
"Topaquinone","Topaquinone","HMDB0011639","123871",NA,"C1=C(C(=CC(=O)C1=O)O)C[C@@H](C(=O)O)N","1"
"(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","HMDB0012111","853019","C16015","C1=CC=C(C=C1)[C@H]([C@@H](C2=CC=CC=C2)O)O","1"
"Dethiobiotin","Dethiobiotin","HMDB0003581","445027","C01909","C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O","1"
"Gamma-glutamyl-L-putrescine","Gamma-glutamyl-L-putrescine","HMDB0012230","20841830","C15699","C(CCNC(=O)CC[C@@H](C(=O)O)N)CN","1"
"5-(2'-Carboxyethyl)-4,6-Dihydroxypicolinate","5-(2'-Carboxyethyl)-4,6-Dihydroxypicolinate","HMDB0006794","0","C05655","OC(=O)CCC1C(O)=CC(=NC1=O)C(O)=O","1"
"Deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O","1"
"Prolylhydroxyproline","Prolylhydroxyproline","HMDB0006695","11902892",NA,"C1C[C@H]([NH2+]C1)C(=O)N2C[C@@H](C[C@H]2C(=O)[O-])O","1"
"L-isoleucyl-L-proline","L-isoleucyl-L-proline","HMDB11174","342734",NA,"CCC(C)C(C(=O)N1CCCC1C(=O)O)N","1"
"L-leucyl-L-proline","L-leucyl-L-proline","HMDB11175","44369311",NA,"CC(C)CC(C(=O)N1CCCC1C(=O)[O-])[NH3+]","1"
"Aspartyl-L-proline","Aspartyl-L-proline","HMDB0002335","170612",NA,"C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)N)C(=O)O","1"
"N2-Succinyl-L-ornithine","N2-Succinyl-L-ornithine","HMDB0001199","127370","C03415","C(C[C@@H](C(=O)O)NC(=O)CCC(=O)O)CN","1"
"4-(Glutamylamino) butanoate","4-(Glutamylamino) butanoate","HMDB0012161","23724570","C15767","C(CC(=O)O)CNC(=O)CC[C@@H](C(=O)O)N","1"
"Spermic acid 2","Spermic acid 2","HMDB0013075","167029",NA,"C(CCNCCC(=O)O)CNCCC(=O)O","1"
"3,4,5-Trimethoxycinnamic acid","3,4,5-Trimethoxycinnamic acid","HMDB0002511","735755",NA,"COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O","1"
"Trans-2, 3, 4-Trimethoxycinnamate","Trans-2, 3, 4-Trimethoxycinnamate","HMDB0011721","735841",NA,"COC1=C(C(=C(C=C1)/C=C/C(=O)O)OC)OC","1"
"L-Cystine","L-Cystine","HMDB0000192","67678","C00491","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N","1"
"5,6-Dihydrouridine","5,6-Dihydrouridine","HMDB0000497","94312",NA,"C1CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"L-alpha-Aspartyl-L-hydroxyproline","L-alpha-Aspartyl-L-hydroxyproline","HMDB0011160","53480671",NA,"C1C(CN(C1C(=O)O)C(=O)C(CC(=O)O)N)O","1"
"Porphobilinogen","Porphobilinogen","HMDB0000245","1021","C00931","C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O","1"
"L-beta-aspartyl-L-leucine","L-beta-aspartyl-L-leucine","HMDB0011166","3549397",NA,"CC(C)CC(C(=O)O)NC(=O)CC(C(=O)O)N","1"
"L-gamma-glutamyl-L-valine","L-gamma-glutamyl-L-valine","HMDB11172","5317736",NA,"CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N","1"
"5-Hydroxyindoleacetylglycine","5-Hydroxyindoleacetylglycine","HMDB0004185","440806","C05832","C1=CC2=C(C=C1O)C(=CN2)CC(=O)NCC(=O)O","1"
"Ribothymidine","Ribothymidine","HMDB0000884","445408",NA,"CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"Imidazoleacetic acid riboside","Imidazoleacetic acid riboside","HMDB0002331","440569","C05131","C1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)CC(=O)O","1"
"3-Methyluridine","3-Methyluridine","HMDB0004813","99592",NA,"CN1C(=O)C=CN(C1=O)C2C(C(C(O2)CO)O)O","1"
"Propranolol","Propranolol","HMDB0001849","4946","C07407","CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O","1"
"L-gamma-glutamyl-L-isoleucine","L-gamma-glutamyl-L-isoleucine","HMDB11170","14253342",NA,"CCC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N","1"
"L-gamma-glutamyl-L-leucine","L-gamma-glutamyl-L-leucine","HMDB11171","4524287",NA,"CC(C)CC(C(=O)O)NC(=O)CCC(C(=O)O)N","1"
"Gamma glutamyl ornithine","Gamma glutamyl ornithine","HMDB0002248","189156",NA,"C(C[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)O)N)CN","1"
"Aspartylysine","Aspartylysine","HMDB04985","165361",NA,"C(CCN)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)N","1"
"Alpha-Aspartyl-lysine","Alpha-Aspartyl-lysine","HMDB04987","6427003",NA,"C(CCN)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","1"
"Norophthalmic acid","Norophthalmic acid","HMDB0005766","5489007",NA,"C[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"Gamma-Glutamylglutamine","N2-gamma-Glutamylglutamine","HMDB0011738","150914","C05283","C(CC(=O)N[C@@H](CCC(=O)N)C(=O)O)[C@@H](C(=O)O)N","1"
"Glutarylcarnitine","Glutarylcarnitine","HMDB0013130","71317118",NA,"C[N+](C)(C)C[C@@H](CC(=O)[O-])OC(=O)CCCC(=O)O","1"
"Epsilon-(gamma-Glutamyl)-lysine","Epsilon-(gamma-Glutamyl)-lysine","HMDB0003869","7015685",NA,"C(CCNC(=O)CC[C@@H](C(=O)[O-])[NH3+])C[C@@H](C(=O)[O-])[NH3+]","1"
"L-a-glutamyl-L-Lysine","L-a-glutamyl-L-Lysine","HMDB04207","7015703","C04700","C(CC[NH3+])C[C@@H](C(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])[NH3+]","1"
"Gamma Glutamylglutamic acid","Gamma Glutamylglutamic acid","HMDB11737","92865","C05282","C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N","1"
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide","NA","NA","NA","NA","NA","0"
"L-Aspartyl-L-phenylalanine","L-Aspartyl-L-phenylalanine","HMDB00706","93078",NA,"C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","1"
"L-beta-aspartyl-L-phenylalanine","L-beta-aspartyl-L-phenylalanine","HMDB0011167","19365658",NA,"C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CC(C(=O)O)N","1"
"Glycylprolylhydroxyproline","Glycylprolylhydroxyproline","HMDB0002171","21252274",NA,"C1C[C@H](N(C1)C(=O)CN)C(=O)N2CCC([C@H]2C(=O)O)O","1"
"N-Ribosylhistidine","N-Ribosylhistidine","HMDB0002089","126923",NA,"C1=C(N=CN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C[C@@H](C(=O)O)N","1"
"Glutamylphenylalanine","Glutamylphenylalanine","HMDB0029156","18653118",NA,"C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)O)N","1"
"Aspartame","Aspartame","HMDB0001894","134601","C11045","COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N","1"
"DHAP(8:0)","DHAP(8:0)","HMDB0011685","53481029",NA,"CCCCCCCC(=O)OCC(=O)COP(=O)(O)O","1"
"L-Cysteinylglycine disulfide","L-Cysteinylglycine disulfide","HMDB0000709","22833544",NA,"C([C@@H](C(=O)O)N)SSCC(C(=O)NCC(=O)O)N","1"
"Uridine 2',3'-cyclic phosphate","NA","NA","NA","NA","NA","0"
