"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Pyruvaldehyde","Pyruvaldehyde","HMDB0001167","880","C00546","CC(=O)C=O","1"
"Malondialdehyde","Malondialdehyde","HMDB0006112","10964","C19440","C(C=O)C=O","1"
"3-Furoic acid","3-Furoic acid","HMDB0000444","10268",NA,"C1=COC=C1C(=O)O","1"
"2-Furoic acid","2-Furoic acid","HMDB0000617","6919","C01546","C1=COC(=C1)C(=O)O","1"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"Maleic acid","Maleic acid","HMDB0000176","444972","C01384","C(=C\C(=O)O)\C(=O)O","1"
"L-Malic acid","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"Malic acid","Malic acid","HMDB0000744","525","C03668","C(C(C(=O)O)O)C(=O)O","1"
"O-Phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","C00417","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O","1"
"trans-Aconitic acid","trans-Aconitic acid","HMDB0000958","444212","C02341","C(/C(=C\C(=O)O)/C(=O)O)C(=O)O","1"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","7786","C05422","C([C@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O","1"
"Glutarylglycine","Glutarylglycine","HMDB0000590","23592950",NA,"C(CC(=O)NCC(=O)O)CC(=O)O","1"
"N-Acetylglutamic acid","N-Acetylglutamic acid","HMDB0001138","185","C00624","CC(=O)NC(CCC(=O)O)C(=O)O","1"
"Citric acid","Citric acid","HMDB0000094","311","C00158","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"Isocitric acid","Isocitric acid","HMDB0000193","1198","C00311","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"D-threo-Isocitric acid","D-threo-Isocitric acid","HMDB0001874","5318532","C00451","C([C@@H]([C@H](C(=O)O)O)C(=O)O)C(=O)O","1"
"Diketogulonic acid","Diketogulonic acid","HMDB0005971","440390","C04575","C([C@@H]([C@H](C(=O)C(=O)C(=O)O)O)O)O","1"
"2,3-Diketo-L-gulonate","2,3-Diketo-L-gulonate","HMDB0006511","53477844","C04575","C([C@@H](C(C(=O)C(=O)C(=O)O)O)O)O","1"
"D-Glucuronic acid","D-Glucuronic acid","HMDB0000127","94715","C00191","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Galacturonic acid","Galacturonic acid","HMDB0002545","84740","C08348","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Iduronic acid","Iduronic acid","HMDB0002704","18845","C06472","C(=O)[C@H]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Pectic acid","Pectic acid","HMDB0003363","445929","C00470","[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"Pectin","Pectin","HMDB0003402","65550","C08348","[C@@H]1([C@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)O)O)O","1"
"3-Dehydro-L-gulonate","3-Dehydro-L-gulonate","HMDB0006334","439273","C00618","C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O","1"
"5-Keto-D-gluconate","5-Keto-D-gluconate","HMDB0011731","3838","C01062","C(C(=O)C(C(C(C(=O)O)O)O)O)O","1"
"2-Keto-L-gluconate","2-Keto-L-gluconate","HMDB0011732","50","C03342","C(C(C(C(C(=O)C(=O)O)O)O)O)O","1"
"L-Cystathionine","L-Cystathionine","HMDB0000099","439258","C02291","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"Allocystathionine","Allocystathionine","HMDB0000455","10104953","C00542","C(CSCC(C(=O)O)N)[C@@H](C(=O)O)N","1"
"Flavone","Flavone","HMDB0003075","10680","C15608","C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2","1"
"Carnosine","Carnosine","HMDB0000033","439224","C00386","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","1"
"(6R)-6-(L-Erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin","(6R)-6-(L-Erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin","HMDB0012482","53481437","C15522","C[C@@H](C([C@@H]1CNC2=C(N1)C(=O)N=CN2)O)O","1"
