"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Propyl alcohol","Propyl alcohol","HMDB0000820","1031","C05979","CCCO","1"
"Isopropyl alcohol","Isopropyl alcohol","HMDB0000863","3776","C01845","CC(C)O","1"
"Pyruvaldehyde","Pyruvaldehyde","HMDB0001167","880","C00546","CC(=O)C=O","1"
"Malondialdehyde","Malondialdehyde","HMDB0006112","10964","C19440","C(C=O)C=O","1"
"Aniline","Aniline","HMDB0003012","6115","C00292","C1=CC=C(C=C1)N","1"
"Pyrrole-2-carboxylic acid","Pyrrole-2-carboxylic acid","HMDB0004230","12473","C05942","C1=CNC(=C1)C(=O)O","1"
"3-Furoic acid","3-Furoic acid","HMDB0000444","10268",NA,"C1=COC=C1C(=O)O","1"
"2-Furoic acid","2-Furoic acid","HMDB0000617","6919","C01546","C1=COC(=C1)C(=O)O","1"
"1-Pyrroline-5-carboxylic acid","1-Pyrroline-5-carboxylic acid","HMDB0001301","6642","C03912","C1CC(N=C1)C(=O)O","1"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","C03564","C1CC(=NC1)C(=O)O","1"
"Fumaric acid","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"Maleic acid","Maleic acid","HMDB0000176","444972","C01384","C(=C\C(=O)O)\C(=O)O","1"
"L-Malic acid","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"Malic acid","Malic acid","HMDB0000744","525","C03668","C(C(C(=O)O)O)C(=O)O","1"
"O-Phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"2-Keto-glutaramic acid","2-Keto-glutaramic acid","HMDB0001552","48","C00940","C(CC(=O)N)C(=O)C(=O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Oxypurinol","Oxypurinol","HMDB0000786","4644","C07599","C1=C2C(=NC(=O)NC2=O)NN1","1"
"6,8-Dihydroxypurine","6,8-Dihydroxypurine","HMDB0001182","83252",NA,"C1=NC(=O)C2=C(N1)NC(=O)N2","1"
"5-Hydroxymethyl-4-methyluracil","5-Hydroxymethyl-4-methyluracil","HMDB0000544","8983",NA,"CC1=C(C(=O)NC(=O)N1)CO","1"
"4-Imidazolone-5-propionic acid","4-Imidazolone-5-propionic acid","HMDB0001014","128","C03680","C1=NC(C(=O)N1)CCC(=O)O","1"
"Imidazolelactic acid","Imidazolelactic acid","HMDB0002320","459122","C05132","C1=CN(C=N1)CC(C(=O)O)O","1"
"2-Aminomuconic acid","2-Aminomuconic acid","HMDB0001241","5280499","C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N","1"
"Oenanthic ether","Oenanthic ether","HMDB0000798","7797",NA,"CCCCCCC(=O)OCC","1"
"Pelargonic acid","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"Indoleacetaldehyde","Indoleacetaldehyde","HMDB0001190","800","C00637","C1=CC=C2C(=C1)C(=CN2)CC=O","1"
"N-Acetyl-L-glutamate 5-semialdehyde","N-Acetyl-L-glutamate 5-semialdehyde","HMDB0006488","192878","C01250","CC(=O)N[C@@H](CCC=O)C(=O)O","1"
